IncGeo_BoroughName,ResponseTimeBinary,inner,Latitude,Longitude
BROMLEY,1,0,51.408397,-0.029449
BROMLEY,1,0,51.409295,-0.029411
BROMLEY,0,0,51.416484,-0.029101
LEWISHAM,1,1,51.428167,-0.028599
LEWISHAM,0,1,51.43895,-0.028134
LEWISHAM,1,1,51.440747,-0.028057
LEWISHAM,0,1,51.4404070768,-0.0278273345
LEWISHAM,0,1,51.4403874459,-0.0277844739
LEWISHAM,0,1,51.4403991867,-0.0278579323
LEWISHAM,0,1,51.440747,-0.028057
LEWISHAM,0,1,51.440747,-0.028057
LEWISHAM,1,1,51.441646,-0.028018
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,1,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,0,1,51.442545,-0.02798
LEWISHAM,1,1,51.442522049,-0.0284706793
